,Date,Ticker,BOARD_AVERAGE_AGE,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,BOARD_SIZE,CEO_DUALITY,CHIEF_EXECUTIVE_OFFICER_AGE,CHIEF_EXECUTIVE_OFFICER_TENURE,CUR_MKT_CAP,ENVIRON_DISCLOSURE_SCORE,EQY_INST_PCT_SH_OUT,ESG_DISCLOSURE_SCORE,FEMALE_CEO_OR_EQUIVALENT,GOVNCE_DISCLOSURE_SCORE,INDEPENDENT_DIRECTORS,NUMBER_OF_WOMEN_ON_BOARD,PCT_IND_DIRECTORS_ON_COMP_CMTE,PCT_WOMEN_ON_BOARD,SOCIAL_DISCLOSURE_SCORE,TOT_COMP_AW_TO_CEO_&_EQUIV,BOARD_AVERAGE_TENURE,BS_TOT_ASSET,EPS_GROWTH,FNCL_LVRG,PCT_INSIDER_SHARES_OUT,RETURN_COM_EQY,RETURN_ON_ASSET,SALES_GROWTH,TOBIN_Q_RATIO,security_name,gics_sector_name
49,2015-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,0.0,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,0.0,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
50,2016-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,0.0,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,0.0,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
51,2017-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
52,2018-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
53,2019-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
54,2020-12-31,1284913D CT Equity,64.73,9.0,97.86,11.0,0.0,,,,9.375,,21.5311,0.0,51.7857,10.0,4.0,100.0,36.363,12.2807,,,7624.821,2.7491,1.7088999999999999,,13.6218,7.9711,2.5581,1.9249,Corp Shoppers Drug Mart,
55,2010-12-31,1311483D CT Equity,61.22,8.0,93.94,9.0,1.0,,,1175.7637,1.5504,83.694,15.7025,,51.7857,7.0,,,11.11,12.2807,,,336.543,-56.5217,1.3091,1.647,6.8408999999999995,5.2255,1.8131,3.71,Hecla Quebec Inc,
56,2011-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,815.106,1.5504,73.085,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,418.586,170.0,1.2808,1.7069999999999999,14.9026,11.6354,45.4597,2.1806,Hecla Quebec Inc,
57,2012-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,564.3475,1.5504,61.331,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,1.7149999999999999,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
58,2013-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,675.8374,1.5504,30.707,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,1.103,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
59,2014-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,16.093,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,1.103,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
60,2015-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,0.005,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,0.0,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
61,2016-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
62,2017-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
63,2018-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
64,2019-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
65,2020-12-31,1311483D CT Equity,60.9,18.0,97.33,10.0,0.0,,,,1.5504,,17.3554,0.0,58.9286,7.0,1.0,100.0,10.0,12.2807,,,449.651,-29.6296,1.2662,,9.2771,7.3268,-14.0158,1.4445999999999999,Hecla Quebec Inc,
66,2010-12-31,1374430D CT Equity,51.89,10.0,97.78,9.0,0.0,,,2728.8947,2.4793,45.572,14.1079,,46.4286,7.0,,,0.0,7.8125,,,2434.9,-97.7778,1.445,7.857,-10.5933,-7.3312,27.4553,1.4344000000000001,Petronas Energy Canada Ltd,
67,2011-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,3079.5194,2.4793,52.24,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,6.968,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
68,2012-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,5185.6467,2.4793,141.679,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,6.225,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
69,2013-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,105.96,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,0.342,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
70,2014-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,105.397,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,0.342,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
71,2015-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,0.0,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,0.0,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
72,2016-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
73,2017-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
74,2018-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
75,2019-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
76,2020-12-31,1374430D CT Equity,52.889,11.0,96.97,9.0,0.0,,,,2.4793,,12.8631,0.0,51.7857,7.0,0.0,100.0,0.0,3.125,,,2646.471,-97.7778,1.3902,,8.1227,5.8427,6.39,1.4141,Petronas Energy Canada Ltd,
77,2010-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,523.9028,,40.852,13.8756,,51.7857,6.0,,,0.0,3.5088,,,701.929,-1.0526,2.0278,6.67,8.3913,4.1381,0.853,1.1471,FGL Sports Ltd,
78,2011-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,763.5914,,23.301,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,0.051,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
79,2012-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,18.479,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,0.051,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
80,2013-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,18.467,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,0.051,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
81,2014-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,18.467,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,0.051,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
82,2015-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,18.467,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,0.051,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
83,2016-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
84,2017-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
85,2018-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
86,2019-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
87,2020-12-31,1382554D CT Equity,59.25,7.0,100.0,8.0,0.0,,,,,,13.8756,,51.7857,6.0,,,0.0,3.5088,,,740.115,28.7234,2.0555,,10.0973,4.9122,6.661,1.287,FGL Sports Ltd,
88,2010-12-31,1413620D CT Equity,59.444,11.0,89.41,9.0,0.0,,,5530.6143,7.7519,61.229,25.2066,0.0,55.3571,7.0,0.0,100.0,0.0,35.0877,,,1958.884,37.5,1.2185,1.371,-1.3174000000000001,-1.0811,,3.016,Osisko Mining Corp /Old,
89,2011-12-31,1413620D CT Equity,60.38,13.0,93.62,8.0,0.0,,,3792.7071,19.3798,62.111,27.686,0.0,57.1429,6.0,0.0,100.0,0.0,17.5439,,,2069.242,37.5,1.2402,1.116,1.1082,0.8936,,2.0338,Osisko Mining Corp /Old,
90,2012-12-31,1413620D CT Equity,62.111,16.0,94.89,9.0,0.0,,,3116.0945,17.8295,58.94,28.0992,0.0,62.5,8.0,1.0,100.0,11.111,17.5439,,,2687.905,360.0,1.2466,1.083,4.7582,3.8169,152.6024,1.4945,Osisko Mining Corp /Old,
91,2013-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,2061.7884,20.155,61.708,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,0.671,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
92,2014-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,3804.2496,20.155,25.549,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,0.076,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
93,2015-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,,20.155,0.574,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,0.0,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
94,2016-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,,20.155,0.0,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,0.0,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
95,2017-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,,20.155,,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
96,2018-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,,20.155,,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
97,2019-12-31,1413620D CT Equity,61.181,9.0,95.37,11.0,0.0,,,,20.155,,30.5785,0.0,62.5,8.0,2.0,100.0,18.181,22.807,,,2222.001,360.0,1.2612,,-23.3801,-18.5382,1.5439,1.152,Osisko Mining Corp /Old,
